hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
방이1동,11710561,11710,127.12245820534145,37.50985547965046,송파구
서초2동,11650520,11650,127.0279063626298,37.488832115109155,서초구
서초3동,11650530,11650,127.0094524672592,37.4855193230316,서초구
서초4동,11650531,11650,127.019813022298,37.498943048639326,서초구
대치4동,11680630,11680,127.05475913388136,37.50156295622019,강남구
역삼1동,11680640,11680,127.03549922946767,37.50084049923531,강남구
역삼2동,11680650,11680,127.04489567185156,37.498485675915795,강남구
도곡1동,11680655,11680,127.04101152997734,37.48889136331354,강남구
도곡2동,11680656,11680,127.04901486736784,37.48549151388995,강남구
개포1동,11680660,11680,127.06232784199904,37.47778161565642,강남구
개포2동,11680670,11680,127.06901579411922,37.484670615998134,강남구
개포4동,11680690,11680,127.05340597354184,37.47533523897234,강남구
세곡동,11680700,11680,127.10430698125876,37.47066106826317,강남구
송파2동,11710590,11710,127.11700695012968,37.50285118895995,송파구
석촌동,11710600,11710,127.1025081499752,37.50272950941379,송파구
가락2동,11710632,11710,127.13076957846668,37.49585396191582,송파구
문정1동,11710641,11710,127.1269008991108,37.488442895397405,송파구
문정2동,11710642,11710,127.11914395257529,37.48119785867748,송파구
장지동,11710646,11710,127.13150466192288,37.48297775415758,송파구
위례동,11710647,11710,127.14070474690848,37.48121019018826,송파구
잠실본동,11710650,11710,127.08261855968016,37.505988713144895,송파구
잠실2동,11710670,11710,127.07933949383688,37.51742470319823,송파구
잠실3동,11710680,11710,127.09424373378847,37.51389983804155,송파구
잠실4동,11710690,11710,127.1091616067086,37.52069857640795,송파구
잠실6동,11710710,11710,127.09946592122714,37.51977009676446,송파구
잠실7동,11710720,11710,127.07388865677532,37.50731897355745,송파구
강일동,11740515,11740,127.17428312632684,37.56354400949654,강동구
상일동,11740520,11740,127.16482638430624,37.55065532184495,강동구
명일1동,11740530,11740,127.14594969313026,37.55034679414935,강동구
명일2동,11740540,11740,127.15428564477769,37.54823687154235,강동구
고덕1동,11740550,11740,127.15094058086898,37.561711098625906,강동구
고덕2동,11740560,11740,127.16201692163284,37.56497604216885,강동구
암사1동,11740570,11740,127.13459056861636,37.55184693432832,강동구
암사2동,11740580,11740,127.12368975590157,37.55703058080124,강동구
암사3동,11740590,11740,127.13863664336333,37.5611855898297,강동구
천호1동,11740600,11740,127.13855254398835,37.54632824439577,강동구
천호2동,11740610,11740,127.12200645292198,37.544995001700855,강동구
천호3동,11740620,11740,127.13330144701196,37.539693927057975,강동구
삼전동,11710610,11710,127.09188763577404,37.501900312956664,송파구
가락본동,11710620,11710,127.12165695132244,37.49701698536128,송파구
가락1동,11710631,11710,127.10827635341148,37.49519195414569,송파구
일원본동,11680720,11680,127.08454846775312,37.48230888982903,강남구
일원1동,11680730,11680,127.08924254756424,37.49346892284447,강남구
